TIME:Tue Jan 27 16:27:38 2015  ||  SCORE:6500
TIME:Tue Jan 27 16:32:53 2015  ||  SCORE:4400
TIME:Tue Jan 27 16:42:45 2015  ||  SCORE:6500
TIME:Tue Jan 27 16:43:17 2015  ||  SCORE:0750
TIME:Tue Jan 27 16:43:44 2015  ||  SCORE:0750
TIME:Tue Jan 27 16:47:08 2015  ||  SCORE:5450
TIME:Tue Jan 27 16:56:43 2015  ||  SCORE:5450
TIME:Tue Jan 27 16:58:29 2015  ||  SCORE:5300
TIME:Tue Jan 27 17:00:28 2015  ||  SCORE:5600
TIME:Tue Jan 27 17:05:04 2015  ||  SCORE:3050
TIME:Tue Jan 27 17:11:03 2015  ||  SCORE:4850
TIME:Tue Jan 27 17:12:26 2015  ||  SCORE:5750
TIME:Tue Jan 27 17:41:10 2015  ||  SCORE:2300
TIME:Tue Jan 27 17:44:00 2015  ||  SCORE:1350
TIME:Tue Jan 27 17:46:20 2015  ||  SCORE:1850
TIME:Tue Jan 27 17:47:09 2015  ||  SCORE:1850
TIME:Tue Jan 27 17:49:59 2015  ||  SCORE:1850
TIME:Tue Jan 27 17:50:27 2015  ||  SCORE:5600
TIME:Tue Jan 27 17:51:08 2015  ||  SCORE:6500
TIME:Tue Jan 27 17:52:26 2015  ||  SCORE:6500
TIME:Tue Jan 27 17:54:08 2015  ||  SCORE:0750
TIME:Tue Jan 27 17:54:32 2015  ||  SCORE:0900
TIME:Tue Jan 27 17:54:54 2015  ||  SCORE:0900
TIME:Tue Jan 27 17:56:16 2015  ||  SCORE:5900
TIME:Tue Jan 27 17:57:08 2015  ||  SCORE:1050
TIME:Tue Jan 27 17:57:32 2015  ||  SCORE:1050
TIME:Tue Jan 27 17:58:10 2015  ||  SCORE:5300
TIME:Tue Jan 27 18:00:14 2015  ||  SCORE:1050
TIME:Tue Jan 27 18:02:07 2015  ||  SCORE:6500
TIME:Tue Jan 27 18:02:55 2015  ||  SCORE:3650
TIME:Tue Jan 27 18:04:32 2015  ||  SCORE:4550
TIME:Tue Jan 27 18:22:54 2015  ||  SCORE:6500
TIME:Tue Jan 27 18:23:10 2015  ||  SCORE:1050
TIME:Wed Jan 28 15:45:01 2015  ||  SCORE:5900
TIME:Wed Jan 28 20:27:15 2015  ||  SCORE:6500
TIME:Wed Jan 28 20:29:45 2015  ||  SCORE:2450
TIME:Wed Jan 28 20:33:14 2015  ||  SCORE:3650
TIME:Wed Jan 28 20:35:52 2015  ||  SCORE:6500
